Name  	% Frequency  	Approx Number  	Rank
BELVA	0.006	9,109 	1273
BENITA	0.013	19,735 	774
BENNIE	0.007	10,627 	1063
BERENICE	0.003	4,554 	2019
BERNA	0.001	1,518 	3451
BERNADETTE	0.039	59,206 	400
BERNADINE	0.014	21,253 	725
BERNARDA	0.001	1,518 	3450
BERNARDINA	0.001	1,518 	3992
BERNARDINE	0.001	1,518 	3182
BERNEICE	0.002	3,036 	2807
BERNETTA	0.002	3,036 	2547
BERNICE	0.128	194,316 	172
BERNIE	0.002	3,036 	2888
BERNIECE	0.006	9,109 	1237
BERNITA	0.004	6,072 	1506
BERRY	0.001	1,518 	3338
BERTA	0.01	15,181 	886
BERTHA	0.143	217,087 	156
BERTIE	0.009	13,663 	978
BERYL	0.009	13,663 	948
BESS	0.007	10,627 	1110
BESSIE	0.096	145,737 	221
BETH	0.11	166,990 	199
BETHANIE	0.001	1,518 	3583
BETHANN	0.002	3,036 	2842
BETHANY	0.039	59,206 	398
BETHEL	0.002	3,036 	2201
BETSEY	0.002	3,036 	2999
BETSY	0.034	51,615 	430
BETTE	0.019	28,844 	607
BETTIE	0.023	34,916 	557
BETTINA	0.006	9,109 	1250
BETTY	0.666	1,011,048 	14
BETTYANN	0.001	1,518 	4088
BETTYE	0.015	22,771 	712
BEULA	0.001	1,518 	4267
BEULAH	0.048	72,868 	360
BEV	0.002	3,036 	2962
BEVERLEE	0.002	3,036 	2403
BEVERLEY	0.008	12,145 	995
BEVERLY	0.267	405,330 	73
BIANCA	0.015	22,771 	710
BIBI	0.001	1,518 	3400
BILLI	0.001	1,518 	3747
BILLIE	0.069	104,748 	278
BILLY	0.004	6,072 	1481
BILLYE	0.002	3,036 	2169
BIRDIE	0.007	10,627 	1083
BIRGIT	0.002	3,036 	2492
BLAIR	0.005	7,590 	1356
BLAKE	0.001	1,518 	4178
BLANCA	0.041	62,242 	384
BLANCH	0.004	6,072 	1523
BLANCHE	0.055	83,495 	321
BLONDELL	0.001	1,518 	3399
BLOSSOM	0.001	1,518 	3181
BLYTHE	0.002	3,036 	2841
BOBBI	0.016	24,289 	679
BOBBIE	0.065	98,676 	288
BOBBY	0.008	12,145 	1019
BOBBYE	0.003	4,554 	2129
BOBETTE	0.001	1,518 	3991
BOK	0.001	1,518 	3398
BONG	0.001	1,518 	3663
BONITA	0.026	39,470 	509
BONNIE	0.223	338,534 	88
BONNY	0.004	6,072 	1538
BRANDA	0.002	3,036 	2840
BRANDE	0.001	1,518 	3746
BRANDEE	0.003	4,554 	1808
BRANDI	0.055	83,495 	320
BRANDIE	0.008	12,145 	989
BRANDON	0.002	3,036 	2764
BRANDY	0.07	106,266 	276
BREANA	0.001	1,518 	3990
BREANN	0.001	1,518 	3180
BREANNA	0.006	9,109 	1217
BREANNE	0.003	4,554 	1916
BREE	0.003	4,554 	2099
BRENDA	0.455	690,731 	31
BRENNA	0.005	7,590 	1281
BRETT	0.001	1,518 	3142
BRIAN	0.001	1,518 	3582
BRIANA	0.01	15,181 	880
BRIANNA	0.014	21,253 	738
BRIANNE	0.007	10,627 	1106
BRIDGET	0.045	68,314 	369
BRIDGETT	0.009	13,663 	942
BRIDGETTE	0.015	22,771 	720
BRIGETTE	0.004	6,072 	1530
BRIGID	0.002	3,036 	2263
BRIGIDA	0.002	3,036 	2594
BRIGITTE	0.009	13,663 	980
BRINDA	0.002	3,036 	2998
BRITANY	0.002	3,036 	2303
BRITNEY	0.009	13,663 	967
BRITNI	0.002	3,036 	2234
BRITT	0.003	4,554 	2109
BRITTA	0.001	1,518 	3090
BRITTANEY	0.001	1,518 	3745
BRITTANI	0.004	6,072 	1691
BRITTANIE	0.001	1,518 	3397
BRITTANY	0.117	177,617 	187
BRITTENY	0.001	1,518 	4266
BRITTNEY	0.024	36,434 	547
BRITTNI	0.002	3,036 	2491
BRITTNY	0.001	1,518 	3281
BRONWYN	0.002	3,036 	2763
BROOK	0.004	6,072 	1454
BROOKE	0.039	59,206 	397
BRUNA	0.001	1,518 	3744
BRUNILDA	0.002	3,036 	2262
BRYANNA	0.001	1,518 	4265
BRYNN	0.002	3,036 	2919
BUENA	0.001	1,518 	4177
BUFFY	0.003	4,554 	2040
BULA	0.001	1,518 	4176
BULAH	0.001	1,518 	3396
BUNNY	0.001	1,518 	3280
BURMA	0.001	1,518 	4175
CAITLIN	0.023	34,916 	560
CAITLYN	0.004	6,072 	1647
CALANDRA	0.001	1,518 	3337
CALISTA	0.001	1,518 	4264
CALLIE	0.016	24,289 	678
CAMELIA	0.002	3,036 	2200
CAMELLIA	0.001	1,518 	3989
CAMERON	0.003	4,554 	1862
CAMI	0.003	4,554 	1901
CAMIE	0.001	1,518 	3279
CAMILA	0.001	1,518 	4174
CAMILLA	0.008	12,145 	1040
CAMILLE	0.028	42,507 	488
CAMMIE	0.002	3,036 	2490
CAMMY	0.001	1,518 	3907
CANDACE	0.051	77,423 	343
CANDANCE	0.003	4,554 	1807
CANDELARIA	0.004	6,072 	1543
CANDI	0.005	7,590 	1334
CANDICE	0.046	69,832 	362
CANDIDA	0.006	9,109 	1166
CANDIE	0.002	3,036 	2233
CANDIS	0.003	4,554 	1806
CANDRA	0.001	1,518 	4263
CANDY	0.022	33,398 	575
CANDYCE	0.002	3,036 	2731
CAPRICE	0.002	3,036 	2432
CARA	0.025	37,952 	523
CAREN	0.007	10,627 	1123
CAREY	0.009	13,663 	915
CARI	0.007	10,627 	1081
CARIDAD	0.006	9,109 	1257
CARIE	0.002	3,036 	2148
CARIN	0.003	4,554 	1789
CARINA	0.004	6,072 	1599
CARISA	0.002	3,036 	2887
CARISSA	0.009	13,663 	953
CARITA	0.001	1,518 	3581
CARL	0.002	3,036 	2147
CARLA	0.107	162,436 	202
CARLEE	0.001	1,518 	3743
CARLEEN	0.004	6,072 	1592
CARLENA	0.001	1,518 	4262
CARLENE	0.012	18,217 	813
CARLETTA	0.002	3,036 	2302
CARLEY	0.002	3,036 	2730
CARLI	0.001	1,518 	3278
CARLIE	0.002	3,036 	2656
CARLINE	0.002	3,036 	2402
CARLITA	0.001	1,518 	4173
CARLOS	0.001	1,518 	3395
